"country_name","year","urban","size_residence","gender","age","prec_safety","exp_crimevic_justic","exp_crimelocal_gang","exp_crimelocal_police","fair_courts","respect_inst","rights_protected","proud_gov","support_gov","trust_justice","trust_supremecourt_tribunal","trust_armedforces","trust_natleg","trust_natgov","trust_natpolice","trust_politicalparties","trust_exec","trust_supremecourt","trust_elections","b47a","community_problem","attend_community","attend_polmeeting","dem_prefernce","ironfist","exp_crimeprob_drug","exp_crimeprob_shooting","diso17","pres_dv1","pres_dv2","approve_overthrow","approve_protesting","approve_blockaids","approve_vigilantism","education","goverence_1","political_knoweldge","race","exp_crimecorr_police","exp_crimecorr_public","exp_crimecorr_common","exp_crimecorr_gov","exp_crimecorr_court","exp_crimecorr_health","exp_crimefear_transport","exp_crimefear_school","watch_news","dem_support","auth_coup1","auth_coup2","auth_power1","auth_power2","language","approve_exec","approve_corupption","approve_secuirty","approve_economy","nationality","attend_citycouncil","petition_localgov","satisfied_dem","interest_politcs","attend_protest","attend_religion","importance_religion","income_monthly","sex","pres_economy","vote_registration","vote_lastelection","exp_crimevic","exp_crimevic_num","exp_crimevic_household","exp_crimevic_type","exp_crimevic_loc","exp_crimevic_fear","exp_crimevic_move","exp_crimevic_alone","exp_crimelocal_rob","exp_crimelocal_drug","exp_crimelocal_extortion","vicbar4a","exp_crimelocal_murders"
"Brazil",2007,1,3,2,30,NA,NA,NA,NA,2,3,1,5,4,4,5,5,3,2,3,1,NA,1,1,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,2,4,3,1,NA,NA,NA,4,0,0,1,NA,NA,0,NA,NA,NA,4,1,1,NA,NA,NA,2,3,3,NA,15,NA,2,2,3,NA,NA,NA,NA,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,2,1,34,NA,NA,NA,NA,1,7,1,1,1,4,4,7,4,4,7,4,NA,4,7,NA,NA,3,3,2,2,NA,NA,NA,NA,NA,6,5,1,1,NA,NA,NA,5,0,0,1,0,0,0,NA,NA,NA,7,2,2,NA,NA,NA,3,1,1,NA,15,NA,1,3,1,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,1,1,23,NA,NA,NA,NA,NA,NA,7,5,6,6,6,5,5,5,7,5,NA,6,5,NA,NA,4,4,NA,2,NA,NA,NA,NA,NA,5,9,8,1,NA,NA,NA,1,0,0,4,NA,NA,NA,NA,NA,NA,5,1,1,NA,NA,NA,2,2,3,NA,15,NA,2,2,4,NA,NA,NA,NA,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,3,2,17,NA,NA,NA,NA,3,5,4,5,6,5,5,5,5,4,4,7,NA,5,4,NA,NA,4,4,1,2,NA,NA,NA,NA,NA,3,9,3,3,NA,NA,NA,5,0,0,1,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,NA,3,5,4,NA,15,NA,2,3,4,NA,NA,NA,NA,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,3,1,33,NA,NA,NA,NA,4,5,7,6,6,7,3,7,6,6,7,5,NA,6,7,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,1,6,3,1,NA,NA,NA,1,0,0,1,NA,0,0,NA,NA,NA,4,2,1,NA,NA,NA,3,4,5,NA,15,NA,2,2,3,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,1,1,39,NA,NA,NA,NA,4,4,5,3,3,6,5,7,2,6,2,1,NA,3,4,NA,NA,3,4,NA,2,NA,NA,NA,NA,NA,1,3,3,1,NA,NA,NA,4,0,0,3,0,1,0,NA,NA,NA,NA,1,1,NA,NA,NA,2,6,6,NA,15,NA,2,2,3,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,1,54,NA,NA,NA,NA,1,7,7,7,5,6,7,7,6,7,7,6,NA,7,7,NA,NA,3,2,2,2,NA,NA,NA,NA,NA,8,10,5,3,NA,NA,NA,4,0,0,1,NA,NA,0,NA,NA,NA,6,2,1,NA,NA,NA,2,7,5,NA,15,NA,1,4,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,2,2,39,NA,NA,NA,NA,4,3,4,3,3,4,5,6,4,5,5,1,NA,4,2,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,8,5,3,6,NA,NA,NA,4,0,0,2,NA,NA,NA,NA,NA,NA,7,2,2,NA,NA,NA,3,1,2,NA,15,NA,2,3,2,NA,NA,NA,NA,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,3,1,71,NA,NA,NA,NA,7,7,7,6,7,7,7,7,7,7,7,6,NA,7,7,NA,NA,3,4,2,2,NA,NA,NA,NA,NA,4,8,1,2,NA,NA,NA,4,0,0,3,NA,NA,0,NA,NA,NA,7,2,2,NA,NA,NA,1,7,5,NA,15,NA,2,2,3,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,3,1,36,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,NA,7,7,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,1,10,8,1,NA,NA,NA,4,0,0,1,NA,NA,0,NA,NA,NA,7,2,2,NA,NA,NA,1,7,7,NA,15,NA,2,2,3,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,2,23,NA,NA,NA,NA,4,3,4,4,1,3,4,5,4,4,3,4,NA,4,3,NA,NA,4,4,3,2,NA,NA,NA,NA,NA,4,5,3,4,NA,NA,NA,5,0,0,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,2,4,NA,15,NA,2,3,3,NA,NA,NA,NA,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,2,2,62,NA,NA,NA,NA,3,3,NA,2,2,4,3,3,2,7,5,3,NA,5,3,NA,NA,4,4,3,2,NA,NA,NA,NA,NA,NA,3,1,4,NA,NA,NA,1,0,0,2,0,NA,0,NA,NA,NA,7,1,1,NA,NA,NA,2,5,6,NA,15,NA,2,NA,3,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,3,2,75,NA,NA,NA,NA,6,7,5,7,5,7,7,7,6,6,4,3,NA,5,7,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,1,4,1,1,NA,NA,NA,1,0,0,2,NA,NA,NA,NA,NA,NA,7,1,1,NA,NA,NA,3,3,4,NA,15,NA,2,2,3,NA,NA,NA,NA,2,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,1,1,39,NA,NA,NA,NA,4,3,2,7,2,3,3,6,1,4,6,1,NA,2,NA,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,1,6,1,1,NA,NA,NA,5,0,0,1,NA,NA,1,NA,NA,NA,6,2,2,NA,NA,NA,2,2,2,NA,15,NA,NA,2,4,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,4,2,26,NA,NA,NA,NA,1,1,1,1,1,2,1,4,2,2,5,3,NA,NA,4,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,2,8,NA,1,NA,NA,NA,5,0,0,2,NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,NA,3,2,5,NA,15,NA,1,2,3,NA,NA,NA,NA,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,3,2,43,NA,NA,NA,NA,4,5,5,3,3,5,5,5,5,3,5,2,NA,2,2,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,4,4,4,3,NA,NA,NA,1,0,0,3,NA,0,0,NA,NA,NA,7,2,2,NA,NA,NA,3,4,4,NA,15,NA,2,3,3,NA,NA,NA,NA,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,1,2,37,NA,NA,NA,NA,3,4,5,3,4,6,2,6,7,6,6,3,NA,5,6,NA,NA,4,4,3,2,NA,NA,NA,NA,NA,5,4,7,7,NA,NA,NA,1,0,0,2,NA,NA,0,NA,NA,NA,4,1,2,NA,NA,NA,3,5,4,NA,15,NA,2,2,3,NA,NA,NA,NA,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,1,40,NA,NA,NA,NA,7,6,2,2,6,7,5,6,NA,7,6,2,NA,NA,7,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,5,10,2,1,NA,NA,NA,4,0,0,1,NA,NA,0,NA,NA,NA,7,2,2,NA,NA,NA,3,3,4,NA,15,NA,2,2,3,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,1,1,47,NA,NA,NA,NA,1,4,1,2,2,1,1,1,2,5,6,1,NA,2,2,NA,NA,4,4,3,2,NA,NA,NA,NA,NA,1,7,1,5,NA,NA,NA,5,0,0,1,NA,NA,0,NA,NA,NA,6,2,2,NA,NA,NA,3,6,5,NA,15,NA,2,3,2,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,3,1,23,NA,NA,NA,NA,4,3,4,3,4,4,4,5,3,6,6,1,NA,4,1,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,7,4,6,1,NA,NA,NA,4,0,0,2,NA,NA,NA,NA,NA,NA,7,2,2,NA,NA,NA,3,6,6,NA,15,NA,2,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,2,29,NA,NA,NA,NA,4,4,3,6,2,1,1,2,1,3,1,1,NA,2,2,NA,NA,4,4,2,1,NA,NA,NA,NA,NA,1,5,5,1,NA,NA,NA,5,0,0,1,NA,NA,0,NA,NA,NA,6,2,2,NA,NA,NA,3,2,4,NA,15,NA,2,2,4,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,2,34,NA,NA,NA,NA,4,6,4,4,4,4,7,4,3,4,6,4,NA,4,5,NA,NA,2,4,2,2,NA,NA,NA,NA,NA,10,10,2,1,NA,NA,NA,1,0,0,2,0,NA,NA,NA,NA,NA,6,2,2,NA,NA,NA,2,2,4,NA,15,NA,1,3,3,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,2,35,NA,NA,NA,NA,4,5,5,4,3,2,2,3,3,4,3,2,NA,4,3,NA,NA,4,4,3,2,NA,NA,NA,NA,NA,1,3,2,1,NA,NA,NA,5,0,0,NA,0,NA,0,NA,NA,NA,7,2,2,NA,NA,NA,3,4,3,NA,15,NA,2,2,3,NA,NA,NA,NA,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,1,1,60,NA,NA,NA,NA,4,6,4,3,5,3,3,4,4,4,5,2,NA,2,2,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,1,9,1,1,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,6,2,2,NA,NA,NA,2,2,1,NA,15,NA,2,2,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,2,30,NA,NA,NA,NA,2,5,4,4,3,1,1,1,1,1,1,1,NA,1,4,NA,NA,4,4,3,1,NA,NA,NA,NA,NA,1,10,1,1,NA,NA,NA,5,0,0,2,0,NA,0,NA,NA,NA,7,1,1,NA,NA,NA,1,7,7,NA,15,NA,1,2,4,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,4,1,38,NA,NA,NA,NA,3,4,2,1,1,4,1,4,4,4,7,1,NA,7,7,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,1,5,2,9,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,4,2,2,NA,NA,NA,3,3,3,NA,15,NA,2,2,3,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,3,1,51,NA,NA,NA,NA,3,4,1,4,5,5,6,7,4,4,6,4,NA,3,5,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,8,10,1,1,NA,NA,NA,1,0,0,1,NA,NA,0,NA,NA,NA,7,2,2,NA,NA,NA,2,5,6,NA,15,NA,2,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,2,59,NA,NA,NA,NA,5,5,5,5,4,7,7,6,5,6,7,5,NA,6,5,NA,NA,4,4,NA,2,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,0,0,3,0,NA,NA,NA,NA,NA,5,2,2,NA,NA,NA,2,7,7,NA,15,NA,2,2,NA,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,1,2,42,NA,NA,NA,NA,7,NA,7,6,7,5,3,5,5,4,6,5,NA,5,4,NA,NA,4,4,1,2,NA,NA,NA,NA,NA,1,7,4,1,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,2,1,1,NA,15,NA,2,2,3,NA,NA,NA,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,2,2,50,NA,NA,NA,NA,4,3,2,3,4,5,5,2,2,1,2,2,NA,3,2,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,1,10,1,1,NA,NA,NA,1,0,0,1,NA,NA,0,NA,NA,NA,5,2,2,NA,NA,NA,2,2,2,NA,15,NA,2,3,4,NA,NA,NA,NA,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,3,1,73,NA,NA,NA,NA,1,1,2,3,1,1,2,1,1,1,1,1,NA,1,2,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,1,1,4,1,NA,NA,NA,1,0,0,1,NA,NA,0,NA,NA,NA,5,2,2,NA,NA,NA,5,1,1,NA,15,NA,2,4,NA,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,1,51,NA,NA,NA,NA,1,NA,1,1,1,1,NA,7,NA,1,7,1,NA,5,1,NA,NA,3,4,NA,2,NA,NA,NA,NA,NA,10,10,10,10,NA,NA,NA,5,0,0,4,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,5,1,1,NA,15,NA,2,4,4,NA,NA,NA,NA,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,4,1,50,NA,NA,NA,NA,1,2,1,1,2,1,1,5,1,2,7,1,NA,7,1,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,5,6,5,6,NA,NA,NA,1,0,0,1,NA,NA,0,NA,NA,NA,7,2,2,NA,NA,NA,2,2,6,NA,15,NA,2,3,1,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,1,2,50,NA,NA,NA,NA,1,4,4,4,4,1,1,7,1,7,7,1,NA,1,1,NA,NA,4,4,1,2,NA,NA,NA,NA,NA,1,10,1,1,NA,NA,NA,4,0,0,1,NA,NA,NA,NA,NA,NA,7,1,1,NA,NA,NA,2,1,7,NA,15,NA,2,2,4,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,4,1,44,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,7,3,3,4,1,NA,NA,6,NA,NA,4,4,NA,2,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,15,NA,2,NA,4,NA,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,2,2,26,NA,NA,NA,NA,4,5,3,2,5,5,6,6,6,6,6,4,NA,4,6,NA,NA,4,4,1,2,NA,NA,NA,NA,NA,6,4,2,1,NA,NA,NA,5,NA,NA,2,NA,NA,0,NA,NA,NA,5,2,2,NA,NA,NA,2,5,4,NA,15,NA,2,3,3,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,3,1,35,NA,NA,NA,NA,5,5,1,7,7,7,5,7,1,3,4,2,NA,1,1,NA,NA,4,4,2,1,NA,NA,NA,NA,NA,1,10,5,5,NA,NA,NA,1,0,0,3,NA,0,0,NA,NA,NA,7,2,2,NA,NA,NA,2,1,4,NA,15,NA,1,2,2,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,2,1,32,NA,NA,NA,NA,4,3,3,2,4,5,6,7,5,6,6,3,NA,6,4,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,1,9,1,1,NA,NA,NA,5,1,1,1,1,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,5,2,1,NA,15,NA,2,3,3,NA,NA,NA,NA,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,1,2,53,NA,NA,NA,NA,4,5,2,1,2,2,3,2,2,4,2,1,NA,3,2,NA,NA,3,NA,2,2,NA,NA,NA,NA,NA,1,10,1,1,NA,NA,NA,5,0,0,1,NA,NA,0,NA,NA,NA,5,NA,2,NA,NA,NA,2,1,3,NA,15,NA,1,4,2,NA,NA,NA,NA,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,2,2,63,NA,NA,NA,NA,6,7,7,3,3,7,7,7,7,7,7,4,NA,7,3,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,2,2,2,10,NA,NA,NA,5,0,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,7,NA,15,NA,2,NA,4,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,1,62,NA,NA,NA,NA,3,6,3,5,5,4,3,6,2,4,7,3,NA,5,1,NA,NA,2,3,2,2,NA,NA,NA,NA,NA,1,10,2,1,NA,NA,NA,5,0,0,1,0,NA,0,NA,NA,NA,6,2,1,NA,NA,NA,2,1,5,NA,15,NA,2,3,1,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,3,2,50,NA,NA,NA,NA,3,2,2,1,1,1,1,2,1,1,2,2,NA,2,3,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,1,5,3,1,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,4,2,2,NA,NA,NA,3,1,3,NA,15,NA,2,3,3,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,4,2,48,NA,NA,NA,NA,1,2,NA,5,NA,NA,4,NA,NA,NA,3,4,NA,NA,4,NA,NA,4,4,NA,2,NA,NA,NA,NA,NA,2,9,2,6,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,15,NA,2,3,3,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,2,38,NA,NA,NA,NA,3,5,7,7,6,4,NA,7,3,4,7,3,NA,6,7,NA,NA,3,3,NA,2,NA,NA,NA,NA,NA,1,6,5,1,NA,NA,NA,5,0,0,2,0,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,3,2,7,NA,15,NA,2,NA,2,NA,NA,NA,NA,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,2,2,38,NA,NA,NA,NA,4,2,4,1,2,2,2,3,2,1,3,1,NA,2,3,NA,NA,4,4,1,2,NA,NA,NA,NA,NA,1,9,8,8,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,5,1,2,NA,NA,NA,3,3,1,NA,15,NA,2,3,3,NA,NA,NA,NA,2,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,2,2,26,NA,NA,NA,NA,6,5,1,5,5,1,1,1,1,7,7,1,NA,1,1,NA,NA,4,4,NA,2,NA,NA,NA,NA,NA,1,10,1,1,NA,NA,NA,1,0,0,2,NA,NA,0,NA,NA,NA,5,2,2,NA,NA,NA,3,1,1,NA,15,NA,2,3,3,NA,NA,NA,NA,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,4,1,28,NA,NA,NA,NA,1,3,3,3,3,2,1,5,2,2,3,3,NA,3,2,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,2,6,1,5,NA,NA,NA,1,0,0,3,NA,NA,NA,NA,NA,NA,7,1,1,NA,NA,NA,3,5,4,NA,15,NA,2,2,4,NA,NA,NA,NA,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,1,29,NA,NA,NA,NA,5,7,6,7,7,7,7,7,7,6,7,7,NA,7,7,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,2,5,2,2,NA,NA,NA,5,0,0,3,NA,NA,NA,NA,NA,NA,7,2,2,NA,NA,NA,2,7,7,NA,15,NA,2,2,4,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,1,18,NA,NA,NA,NA,4,5,4,3,4,3,2,2,4,5,4,1,NA,1,4,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,5,6,3,4,NA,NA,NA,5,0,0,1,NA,NA,0,NA,NA,NA,4,1,2,NA,NA,NA,3,4,4,NA,15,NA,2,3,4,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,3,2,22,NA,NA,NA,NA,3,7,2,1,1,1,1,4,2,1,5,1,NA,1,1,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,1,8,9,1,NA,NA,NA,1,0,0,1,0,NA,0,NA,NA,NA,5,1,1,NA,NA,NA,5,1,1,NA,15,NA,1,3,2,NA,NA,NA,NA,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,2,22,NA,NA,NA,NA,5,6,1,3,4,6,1,5,4,4,5,1,NA,5,5,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,1,6,4,1,NA,NA,NA,5,0,0,1,NA,NA,0,NA,NA,NA,6,2,2,NA,NA,NA,3,6,2,NA,15,NA,2,3,2,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,4,2,27,NA,NA,NA,NA,5,4,1,5,5,1,1,6,5,6,7,4,NA,6,5,NA,NA,4,4,1,2,NA,NA,NA,NA,NA,6,7,5,5,NA,NA,NA,1,0,0,2,NA,NA,NA,NA,NA,NA,6,2,2,NA,NA,NA,3,2,2,NA,15,NA,2,3,3,NA,NA,NA,NA,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,3,2,36,NA,NA,NA,NA,5,7,7,7,7,7,7,7,7,7,7,4,NA,7,7,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,1,3,1,1,NA,NA,NA,5,0,0,4,NA,NA,NA,NA,NA,NA,7,2,2,NA,NA,NA,1,7,7,NA,15,NA,1,1,2,NA,NA,NA,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,4,2,35,NA,NA,NA,NA,4,4,4,3,3,4,2,4,4,3,5,2,NA,5,3,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,4,4,4,2,NA,NA,NA,1,0,0,4,NA,NA,0,NA,NA,NA,5,2,2,NA,NA,NA,3,3,3,NA,15,NA,2,2,3,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,2,1,23,NA,NA,NA,NA,5,5,5,7,7,7,5,5,6,6,7,5,NA,4,7,NA,NA,4,4,2,2,NA,NA,NA,NA,NA,3,8,8,3,NA,NA,NA,5,0,0,2,NA,NA,NA,NA,NA,NA,5,2,1,NA,NA,NA,2,6,6,NA,15,NA,2,3,2,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,2,23,NA,NA,NA,NA,4,6,6,3,1,7,7,7,7,5,5,3,NA,2,2,NA,NA,4,4,3,2,NA,NA,NA,NA,NA,1,9,8,1,NA,NA,NA,5,0,0,4,NA,NA,0,NA,NA,NA,6,2,2,NA,NA,NA,3,1,7,NA,15,NA,2,2,2,NA,NA,NA,NA,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,1,1,2,49,NA,NA,NA,NA,5,3,2,3,3,3,5,3,3,4,6,4,NA,3,5,NA,NA,1,4,2,2,NA,NA,NA,NA,NA,10,10,10,1,NA,NA,NA,1,0,0,2,NA,NA,NA,NA,NA,NA,7,2,2,NA,NA,NA,4,4,4,NA,15,NA,2,3,1,NA,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2007,2,5,2,39,NA,NA,NA,NA,NA,4,4,7,3,5,3,4,3,7,6,5,NA,NA,5,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,1,10,1,1,NA,NA,NA,1,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,15,NA,2,NA,4,NA,NA,NA,NA,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
